visitor_timestamp,total_visitors,unique_visitors
"2025-02-03",3,1
"2025-02-04",5,2
"2025-02-05",1,1
"2025-02-07",1,1
"2025-02-08",1,1
"2025-02-10",1,1
"2025-02-12",1,1
"2025-02-20",2,1
"2025-02-28",1,1
"2025-03-04",1,1
"2025-03-06",1,1
"2025-03-09",1,1
"2025-03-12",1,1
"2025-03-13",1,1
"2025-03-17",1,1
"2025-03-19",1,1
"2025-03-20",3,1
"2025-03-21",2,1
"2025-03-22",1,1
"2025-03-27",1,1
"2025-03-28",2,1
"2025-04-14",2,1
"2025-04-17",13,1
"2025-04-18",4,1
"2025-04-24",9,1
"2025-05-21",2,1
"2025-05-24",22,1
"2025-05-27",1,1
"2025-06-05",5,1
"2025-06-10",1,1
"2025-06-20",1,1
"2025-06-22",8,1
"2025-06-25",1,1
"2025-08-08",9,1
"2025-08-13",2,1
"2025-08-18",3,2
"2025-08-21",3,1
"2025-08-22",6,1
"2025-08-25",1,1
"2025-09-01",1,1
"2025-09-15",1,1
"2025-10-02",1,1
"2025-10-05",11,1
"2025-10-23",1,1
"2025-10-26",12,1
"2025-11-13",1,1
"2025-12-01",3,1
"2025-12-24",2,1
"2025-12-25",2,1
