clone_timestamp,total_clones,unique_clones
"2025-01-22",1,1
"2025-01-23",1,1
"2025-01-24",1,1
"2025-01-25",1,1
"2025-01-26",1,1
"2025-01-28",1,1
"2025-01-29",1,1
"2025-01-30",2,2
"2025-01-31",2,2
"2025-02-02",1,1
"2025-02-03",4,3
"2025-02-05",2,2
"2025-02-07",3,3
"2025-02-08",2,2
"2025-02-14",1,1
"2025-02-26",1,1
"2025-02-28",1,1
"2025-03-01",3,3
"2025-03-02",2,2
"2025-03-03",2,2
"2025-03-04",1,1
"2025-03-08",2,2
"2025-03-09",1,1
"2025-03-10",5,5
"2025-03-15",3,3
"2025-03-16",4,3
"2025-03-18",1,1
"2025-03-19",5,3
