clone_timestamp,total_clones,unique_clones
"2025-07-26",13,12
"2025-07-27",4,4
"2025-07-28",7,5
"2025-07-29",5,4
"2025-07-31",6,4
"2025-08-01",3,2
"2025-08-02",1,1
"2025-08-03",1,1
"2025-08-04",2,2
"2025-08-05",6,4
"2025-08-06",2,2
"2025-08-09",1,1
"2025-08-10",1,1
"2025-08-12",1,1
"2025-08-14",1,1
"2025-08-15",1,1
"2025-08-16",1,1
"2025-08-31",1,1
"2025-09-01",1,1
"2025-09-06",1,1
"2025-09-28",1,1
"2025-10-02",1,1
"2025-10-18",3,2
"2025-10-28",1,1
"2025-10-29",2,2
"2025-10-31",1,1
"2025-11-01",1,1
"2025-11-14",1,1
"2025-11-18",1,1
"2025-11-22",1,1
"2025-11-28",1,1
"2025-11-29",1,1
"2025-12-07",1,1
"2025-12-18",1,1
"2025-12-19",1,1
"2025-12-20",1,1
"2025-12-21",0,0
"2025-12-22",1,1
"2025-12-23",0,0
"2025-12-24",0,0
"2025-12-25",0,0
"2025-12-26",0,0
"2025-12-27",0,0
"2025-12-28",0,0
"2025-12-29",1,1
"2025-12-30",0,0
"2025-12-31",0,0
"2026-01-01",0,0
"2026-01-02",0,0
"2026-01-03",0,0
"2026-01-04",1,1
"2026-01-05",0,0
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-08",1,1
"2026-01-14",0,0
"2026-01-16",0,0
