clone_timestamp,total_clones,unique_clones
"2025-09-16",75,46
"2025-09-17",170,88
"2025-09-18",11,4
"2025-09-19",21,14
"2025-09-20",12,6
"2025-09-21",5,3
"2025-09-22",4,2
"2025-09-23",7,3
"2025-09-24",2,1
"2025-09-26",13,6
"2025-09-27",14,9
"2025-09-28",5,4
"2025-09-30",18,17
"2025-10-01",17,13
"2025-10-02",29,12
"2025-10-03",36,19
"2025-10-04",24,15
"2025-10-05",65,29
"2025-10-06",29,13
"2025-10-07",1,1
"2025-10-08",1,1
"2025-10-09",12,8
"2025-10-10",55,23
"2025-10-11",49,21
"2025-10-12",86,46
"2025-10-13",1,1
