clone_timestamp,total_clones,unique_clones
"2025-02-07",1,1
"2025-02-08",1,1
"2025-02-10",4,3
"2025-02-11",1,1
"2025-02-12",2,2
"2025-02-13",1,1
"2025-02-14",1,1
"2025-02-21",1,1
"2025-02-22",1,1
"2025-02-23",1,1
"2025-02-24",3,3
"2025-02-27",5,4
"2025-02-28",1,1
"2025-03-04",3,3
"2025-03-07",1,1
"2025-03-08",1,1
"2025-03-09",1,1
"2025-03-10",5,4
"2025-03-12",1,1
"2025-03-15",1,1
"2025-03-16",2,1
"2025-03-18",1,1
"2025-03-19",1,1
"2025-03-20",1,1
"2025-03-21",6,4
"2025-03-22",5,4
"2025-03-29",1,1
"2025-03-31",1,1
